"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 01:56:44 IST 2022","Wed Aug 24 01:56:47 IST 2022","2870","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"passed","Wed Aug 24 02:00:08 IST 2022","Wed Aug 24 02:00:11 IST 2022","2721","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"passed","Wed Aug 24 01:27:04 IST 2022","Wed Aug 24 01:27:07 IST 2022","2537","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"passed","Wed Aug 24 01:55:09 IST 2022","Wed Aug 24 01:55:12 IST 2022","2844","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"passed","Wed Aug 24 01:17:11 IST 2022","Wed Aug 24 01:17:14 IST 2022","2876","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"passed","Wed Aug 24 00:23:40 IST 2022","Wed Aug 24 00:23:43 IST 2022","2953","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"unknown","Wed Aug 24 01:25:33 IST 2022","Wed Aug 24 01:25:33 IST 2022","2","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"passed","Wed Aug 24 01:24:19 IST 2022","Wed Aug 24 01:24:22 IST 2022","2937","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"passed","Wed Aug 24 00:31:55 IST 2022","Wed Aug 24 00:32:16 IST 2022","20305","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
"failed","Wed Aug 24 02:00:11 IST 2022","Wed Aug 24 02:00:11 IST 2022","184","Default Suite","groww","UserService.Users","UserService.Users","getData","getData",""
"passed","Wed Aug 24 00:29:09 IST 2022","Wed Aug 24 00:29:33 IST 2022","23168","Default Suite","groww","UserService.Users","UserService.Users","createUser","createUser",""
